RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2646355	-3654349	65.616667	-21.533333	653700	-213200	27WVN7543177288	NQ27-10	T	VAL		IC	30					N				HEYDALUR	Heydalur	Heydalur	1994-01-14
1	-2646100	-3654060	63.333056	-20.172222	631959	-201020	27VWL4145022966	NP27-02	T	ISL		IC	23					N			ey	HEIMAEY	Heimaey	Heimaey	1998-04-03
1	-2646100	-3654058	63.333056	-20.172222	631959	-201020	27VWL4145022966	NP27-02	T	ISL		IC	23					V				HEIMA	Heima	Heima	1998-04-03
1	-2643438	-3651133	65.416667	-19.8	652500	-194800	27WWN5570255423	NQ27-10	S	FRM		IC	05					V				EIDSSTADHIR	Eidsstaðir	Eidsstadhir	1994-01-14
1	-2641643	-3649128	66.483333	-15.9	662900	-155400	28WDU5992874074	NQ27-07	T	ISL		IC	21					N				ASMUNDARSTADHAEY	Ásmundarstaðaey	Asmundarstadhaey	1994-01-14
1	-2641632	-3649117	65.433333	-23.016667	652600	-230100	27WVN0645758248	NQ27-09	T	ISL		IC	04					N				ASKELSEY	Áskelsey	Askelsey	1994-01-14
1	-2647590	-3655712	65.766667	-20	654600	-200000	27WWN4579994267	NQ27-10	T	MT		IC	05					N				HVAMMSHLIDHARFJALL	Hvammshlíðarfjall	Hvammshlidharfjall	1994-01-14
1	-2649955	-3658293	64.066667	-19.2	640400	-191200	27WWM8782305684	NQ27-14	T	MT		IC	23					N				LODHMUNDUR	Loðmundur	Lodhmundur	1994-01-14
1	-2643040	-3650688	66.166667	-18.966667	661000	-185800	27WWP9167039976	NQ27-06	T	MT		IC	09					N				DALABAEJARFJALL	Dalabæjarfjall	Dalabaejarfjall	1994-01-14
1	-2649739	-3658063	65.266667	-21.533333	651600	-213200	27WVN7510138280	NQ27-10	T	HLL		IC	08					N				LEIRKARLSBORG	Leirkarlsborg	Leirkarlsborg	1994-01-14
